company_id,name,country,city,zip_code
1852,Prudential Financial,US,Newark,7102
1855,Charles Schwab,US,Westlake,76262
1864,3M,US,St Paul,55144
1869,Capco Energy Solutions,US,Houston,77010
1874,Marsh,US,New York,10036
1879,Autodesk,US,San Francisco,94105
1881,"BAE Systems, Inc.",US,Falls Church,22042
1885,Nickelodeon,US,Los Angeles,90028
1893,Bayer,DE,Leverkusen,51373
1900,McKesson,US,Irving,75039
1905,General Dynamics Information Technology,US,Falls Church,22042
1906,General Dynamics Land Systems,US,0,0
1908,General Dynamics Mission Systems,US,Fairfax,22033
1912,Philip Morris International,CH,Lausanne,1007
1926,McCann Worldgroup,US,New York,10017
1927,MRM,US,New York,10017
1928,UM Worldwide,US,New York,10001
1929,The Adecco Group,CH,Zurich,8008
1935,PTC,US,Boston,2210
1951,Thales,FR,Meudon,92190
1956,Sogeti,FR,Paris,92130
1970,Rabobank,NL,Utrecht,3521CB
1995,Mavenir,US,Richardson,75081
2003,NASA - National Aeronautics and Space Administration,US,Washington,20546
2017,Qualcomm,US,San Diego,92121
2018,Applied Materials,US,Santa Clara,95054
2019,Western Union,US,Denver,80237
2029,Nike,US,Beaverton,97005
2032,Spectrum Enterprise,US,Stamford,6902
2035,Coldwell Banker Realty,US,Madison,7940
2041,Aon,GB,London,EC3V 4AN
2046,CNN,US,Atlanta,0
2059,TE Connectivity,CH,Schaffhausen,8200
2068,Amgen,US,Thousand Oaks,91320
2078,Gartner,US,Stamford,6904
2087,Volvo Group,SE,Göteborg,417 15
2089,Volvo Penta,SE,Gothenburg,41757
2090,Volvo Buses,SE,Gothenburg,405 08
2092,Mack Trucks,US,Greensboro,27409
2096,Volvo Construction Equipment,SE,Eskilstuna,63185
2105,NetApp,US,San Jose,95128
2107,Toyota North America,US,Plano,75024
2114,Bain & Company,US,Boston,2116
2121,Avis Budget Group,US,Parsippany,7054
2127,Best Buy,US,Richfield,55423-3645
2137,Pearson,GB,London,WC2R 0RL
2148,Infineon Technologies,DE,"Neubiberg, München",85579
2152,TEKsystems,US,Hanover,21076
2153,Allegis Group,US,Hanover,21076
2155,DuPont,US,Wilmington,19805
2157,Cadence Design Systems,US,San Jose,95134
2162,Cardinal Health,US,Dublin,43017
2169,"Department for Transport (DfT), United Kingdom",GB,London,SW1P 4DR
2190,Visa,US,Foster City,0
2192,Chevron,US,San Ramon,94583
2193,Canon Solutions America,US,Melville,11747
2198,Bosch Security and Safety Systems,DE,Grasbrunn,85630
2206,LexisNexis,US,New York City,10017
2213,MetLife,US,New York,10166
2217,Halliburton,US,Houston,77032
2219,"KBR, Inc.",US,Houston,77002
2224,"Keller Williams Realty, Inc.",US,Austin,78746
2227,Novo Nordisk,DK,Bagsværd,2880
2230,Hanesbrands Inc.,US,Winston-Salem,27105
